type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,100100,100100,144,0,117,33,9,0,0,0,0,21,0,6,330
Work,100200,100200,210,0,93,24,15,0,0,0,0,12,0,0,354
Work,100400,100400,102,0,54,6,6,0,0,0,0,0,0,0,177
Work,100500,100500,123,0,30,9,0,0,0,0,0,0,0,0,168
Work,100600,100600,63,0,18,0,0,0,0,0,0,0,0,0,90
Work,100700,100700,120,0,171,36,21,0,0,0,0,36,0,0,393
Work,100800,100800,114,0,114,9,6,0,0,0,0,27,0,0,273
Work,100900,100900,81,0,12,0,0,0,0,0,0,0,0,0,99
Work,101000,101000,75,0,15,0,0,0,0,0,0,0,0,0,99
Work,101100,101100,159,0,147,15,18,0,0,0,0,21,0,0,366
Work,101200,101200,105,0,18,0,0,0,0,0,0,0,0,0,126
Work,101300,101300,111,0,0,0,0,0,0,0,0,0,0,0,120
Work,101400,101400,87,0,0,0,0,0,0,0,0,0,0,0,99
Work,101500,101500,81,0,15,6,0,0,0,0,0,0,0,0,114
Work,101600,101600,63,0,24,0,0,0,0,0,0,0,0,0,90
Work,101700,101700,84,0,15,0,0,0,0,0,0,0,0,0,108
Work,101800,101800,150,0,63,0,0,0,0,0,0,6,0,0,225
Work,101900,101900,111,0,66,9,9,0,0,0,0,0,0,0,204
Work,102000,102000,114,0,21,0,0,0,0,0,0,0,0,0,141
Work,102100,102100,96,0,60,12,0,0,0,0,0,15,0,0,192
Work,102200,102200,231,0,48,21,0,0,0,0,0,9,0,0,312
Work,102300,102300,135,0,24,6,0,0,0,0,0,15,0,0,192
Work,102400,102400,150,0,24,9,0,0,0,0,0,0,0,0,186
Work,102500,102500,78,0,18,12,0,0,0,0,0,0,0,0,126
Work,102600,102600,222,0,30,21,0,0,0,0,0,15,0,0,291
Work,102700,102700,60,0,9,0,0,0,0,0,0,0,0,0,78
Work,102800,102800,171,0,33,9,0,0,0,0,0,0,0,0,222
Work,102900,102900,132,0,90,9,9,0,0,0,0,9,0,0,246
Work,103000,103000,135,0,177,33,9,0,0,0,0,90,0,0,447
Work,103100,103100,243,0,45,15,6,0,0,0,0,12,0,0,324
Work,103200,103200,132,0,21,15,0,0,0,0,0,0,0,0,174
Work,103300,103300,159,0,27,9,0,0,0,0,0,9,0,6,213
Work,103400,103400,99,0,21,12,0,0,0,0,0,0,0,0,138
Work,103500,103500,102,0,303,30,27,0,0,0,0,72,0,0,540
Work,103600,103600,78,0,6,0,0,0,0,0,0,0,0,0,93
Work,103700,103700,87,0,18,9,0,0,0,0,0,0,0,0,120
Work,103800,103800,93,0,66,12,6,0,0,0,0,42,0,0,222
Work,103900,103900,189,0,93,21,0,0,0,0,0,90,0,0,402
Work,104000,104000,57,0,9,0,0,0,0,0,0,0,0,6,78
Work,104100,104100,111,0,12,9,0,0,0,0,0,0,0,0,138
Work,104200,104200,72,0,9,0,0,0,0,0,0,0,0,0,93
Work,104300,104300,90,0,42,15,0,0,0,0,0,0,0,0,150
Work,104400,104400,42,0,15,0,0,0,0,0,0,0,0,0,69
Work,104500,104500,39,0,69,0,15,0,0,0,0,15,0,0,141
Work,104600,104600,39,0,60,6,0,0,0,0,0,30,0,0,144
Work,104700,104700,141,0,9,0,0,0,0,0,0,6,0,6,171
Work,104800,104800,306,0,54,15,0,0,0,0,0,12,0,24,414
Work,104900,104900,324,0,78,18,0,0,0,0,0,12,0,6,441
Work,105100,105100,285,0,33,30,0,0,0,0,0,0,0,0,357
Work,105200,105200,72,0,27,6,0,0,0,0,0,9,0,0,117
Work,105300,105300,153,0,33,15,0,0,0,0,0,0,0,6,207
Work,105400,105400,426,0,114,33,6,0,0,0,0,27,0,12,621
Work,105500,105500,90,0,21,18,0,0,0,0,0,0,0,0,135
Work,105600,105600,177,0,54,18,6,0,0,0,0,21,0,0,279
Work,105700,105700,84,0,9,0,0,0,0,0,0,0,0,0,99
Work,105800,105800,105,0,6,0,0,0,0,0,0,0,0,0,120
Work,105900,105900,141,0,39,18,0,0,0,0,0,21,0,0,225
Work,106000,106000,63,0,21,0,0,0,0,0,0,6,0,0,93
Work,106100,106100,135,0,21,6,0,0,0,0,0,9,0,0,171
Work,106200,106200,90,0,30,0,0,0,0,0,0,9,0,0,141
Work,106300,106300,165,0,24,0,0,0,0,0,0,0,0,0,195
Work,106400,106400,51,0,15,0,0,0,0,0,0,9,0,0,78
Work,106500,106500,135,0,15,0,0,0,0,0,0,0,0,0,159
Work,106600,106600,180,0,48,15,0,0,0,0,0,33,0,0,282
Work,106700,106700,126,0,15,9,0,0,0,0,0,0,0,0,150
Work,106800,106800,123,0,6,9,0,0,0,0,0,6,0,0,150
Work,106900,106900,141,0,126,6,0,0,0,0,6,84,0,0,372
Work,107000,107000,144,0,21,0,0,0,0,0,0,9,0,0,183
Work,107100,107100,66,0,66,21,0,0,0,0,0,42,0,0,204
Work,107200,107200,117,0,0,0,0,0,0,0,0,9,0,0,135
Work,107300,107300,90,0,15,0,0,0,0,0,0,0,0,0,111
Work,107400,107400,48,0,9,0,0,0,0,0,0,6,0,0,72
Work,107500,107500,96,0,15,0,0,0,0,0,0,9,0,0,120
Work,107600,107600,81,0,33,0,0,0,0,0,0,9,0,0,123
Work,107700,107700,111,0,33,12,0,0,0,0,0,0,0,0,168
Work,107800,107800,300,0,69,15,0,0,0,0,0,12,0,9,405
Work,107900,107900,12,0,18,0,0,0,0,0,0,0,0,0,36
Work,108000,108000,177,0,21,0,0,0,0,0,0,0,0,0,204
Work,108100,108100,78,0,6,0,0,0,0,0,0,0,0,0,90
Work,108200,108200,72,0,6,0,0,0,0,0,0,0,0,0,81
Work,108300,108300,114,0,27,0,0,0,0,0,0,6,0,0,156
Work,108500,108500,195,0,27,12,0,0,0,0,0,9,0,0,246
Work,108600,108600,276,0,39,12,0,0,0,0,0,6,0,9,351
Work,108700,108700,162,0,111,12,12,0,0,0,0,9,0,0,312
Work,108800,108800,135,0,126,24,12,0,0,0,0,12,0,0,312
